ID;DescriÃ§Ã£o;Categoria;Fornecedor;Quantidade;Valor Custo;Valor Recomendado;imei;Loja
;CASE 17 PRO MAX ;Capa;;32;R$ 3,70;R$ 35,00;;Águas Lindas Shopping
;CASE 17 PRO ;Capas;;1;R$ 3,70;R$ 30;;Águas Lindas Shopping
;CASE 17 AIR ;Capas;;;;R$ 30,00;;Águas Lindas Shopping
;CASE 17;Capas;;;R$ 3,70;R$ 30,00;;Águas Lindas Shopping
;CASE 16 PRO MAX;Capas;;64;R$ 3,70;R$ 30,00;;Águas Lindas Shopping
;CASE 16 PRO ;Capas;;38;R$ 3,70;R$ 30;;Águas Lindas Shopping
;CASE 16 ;Capas;;37;R$ 3,70;R$ 30,00;;Águas Lindas Shopping
;CASE 15 PRO MAX ;Capas;;47;R$ 3,70;R$ 30,00;;Águas Lindas Shopping
;CASE 15 PRO ;Capas;;60;R$ 3,70;R$ 30,00;;Águas Lindas Shopping
;CASE 15;Capas;;7;R$ 3,70;R$ 30,00;;Águas Lindas Shopping
;CASE 14 PRO MAX ;Capas;;38;R$ 3,70;R$ 30,00;;Águas Lindas Shopping
;CASE 14 PRO ;Capas;;18;R$ 3,70;R$ 30;;Águas Lindas Shopping
;CASE 14;Capas;;;R$ 3,70;R$ 30,00;;Águas Lindas Shopping
;CASE 13 PRO MAX ;Capas;;49;R$ 3,70;R$ 30;;Águas Lindas Shopping
;CASE 13 PRO ;Capas;;43;R$ 3,70;R$ 30;;Águas Lindas Shopping
;CASE 13;Capas;;;R$ 3,70;R$ 30;;Águas Lindas Shopping
;CASE 12 PRO MAX ;Capas;;63;R$ 3,70;R$ 30;;Águas Lindas Shopping
;CASE 12/12 PRO ;Capas;;;R$ 3,70;R$ 30;;Águas Lindas Shopping
;CASE 11 PRO MAX ;Capas;;35;R$ 3,70;R$ 30;;Águas Lindas Shopping
;CASE 11 PRO ;Capas;;27;R$ 3,70;R$ 30;;Águas Lindas Shopping
;CASE 11 ;Capas;;;R$ 3,70;R$ 30;;Águas Lindas Shopping
;CASE XR;Capas;;64;R$ 3,70;R$ 30;;Águas Lindas Shopping
;CASE XS MAX;Capas;;;R$ 3,70;R$ 30;;Águas Lindas Shopping
;CASE XS;Capas;;;R$ 3,70;R$ 30;;Águas Lindas Shopping
;CASE 7/8;Capas;;;R$ 3,70;R$ 30;;Águas Lindas Shopping
;CASE 7PLUS/8PLUS ;Capas;;;R$ 3,70;R$ 30;;Águas Lindas Shopping
;TPU 17 PRO MAX ;Capas;;9;R$ 2,00;R$ 20;;Águas Lindas Shopping
;TPU 17 PRO ;Capas;;12;R$ 2;R$ 20;;Águas Lindas Shopping
;TPU 17 AIR ;Capas;;16;R$ 2;R$ 20;;Águas Lindas Shopping
;TPU 17 ;Capas;;21;R$ 2,00;R$ 20;;Águas Lindas Shopping
;TPU 16 PRO MAX ;Capas;;48;R$ 2,00;R$ 20;;Águas Lindas Shopping
;TPU 16 PRO ;Capas;;56;R$ 2,00;R$ 20;;Águas Lindas Shopping
;TPU 16 ;Capas;;24;R$ 2,00;R$ 20;;Águas Lindas Shopping
;TPU 15 PRO MAX ;Capas;;8;R$ 2,00;R$ 20;;Águas Lindas Shopping
;TPU 15 PRO ;Capas;;57;R$ 2,00;R$ 20;;Águas Lindas Shopping
